input	output
ask @CN@ , can you fix the bulb	hey @CN@ , @SCN@ is wondering if you can fix the bulb
ask @CN@ ,is this your book?	hey @CN@ , @SCN@ would like to know whether it is your book?
ask @CN@ , can you wash the shoes	hey @CN@ , @SCN@ wants to know if you can make pie
ask @CN@ when do we need to wear a coat	hey @CN@ @SCN@ would like to know when do we need to wear a coat
could you tell @CN@ , did you went to school yesterday	hi @CN@ , @SCN@ is wondering that did to went to school yesterday.
ask @CN@, does he want pancakes?	hi @CN@, @SCN@ wants to know if you want pancakes?
can you tell @CN@ that the protein reduces body fat	hey @CN@ , @SCN@ says that the protein reduces body fat
ask @CN@ , was it the back door	hi @CN@ , @SCN@ freaked if was the back door.
ask @CN@ , did she go by car?	hi @CN@ , @SCN@ likes to know whether she went by car
give @CN@ a message that i will be a half an hour late.	hi @CN@, @SCN@ wanted to send you a message that they would be a half hour late.
ask @CN@ who teaches kids at school	hey @CN@ @SCN@ is wondering who teaches kids at school
ask @CN@ to accept my gift	hey @CN@ , @SCN@ wants you to accept their gift
ask @CN@ about his pet	hey @CN@ , @SCN@ is eager to know about your pet
ask @CN@ , how was your day?	hey @CN@ , @SCN@ wants to know about your day?
tell @CN@ to fill water	hi @CN@ , @SCN@ wanted you to fill water.
ask @CN@ how old is your dad	hey @CN@ , @SCN@ would like to know how old your dad is
can you tell @CN@ that people in moon weigh less than people on earth	hi @CN@ , @SCN@ wants you to know that people in moon weigh less than people on earth
ask @CN@ ,what do you like to do on weekends?	hi @CN@ , @SCN@ exclaims what you like to do this weekend
ask @CN@ , do you know salsa dance?	hey @CN@ , @SCN@ wonders if you know salsa dance
ask @CN@ to pick up the children from the school	hi @CN@ , @SCN@ asks you to pick up the children from the school
can you ask @CN@ , why are you so unhappy	hey @CN@ , @SCN@ would like to know why you are so unhappy
ask @CN@ what coffee didn't you like	hi @CN@, @SCN@ wants to know what coffee you didn't like
ask @CN@ , can you play some music	hey @CN@ , @SCN@ wants to know if you can play some music
can you ask @CN@ to apply for passport	hi @CN@ , @SCN@ is asking you to apply for passport
ask @CN@ to learn new language	hey @CN@ , @SCN@ is requesting you to learn new language
please ask @CN@ about the gym	hey @CN@ , @SCN@ would like to know about the gym
can you tell @CN@ to seek help	hi @CN@ , @SCN@ wanted you to seek help.
ask @CN@ , do you like the job?	hi @CN@ , @SCN@ would like to know if you like the job
can you ask @CN@ to modify the vehicle color	hey @CN@ , @SCN@ requests you to modify the vehicle color
can you tell @CN@ i bought more bananas.	hi @CN@, @SCN@ bought more bananas.
tell @CN@ to enjoy the quality time	hi @CN@ , @SCN@ asked you to enjoy the quality time.
ask @CN@ if he paid a lot for his drone	hey @CN@, @SCN@ wants to know if you paid a lot for your drone
can you remind @CN@ to inspect the transmission of the car	hi @CN@, @SCN@ reminds you to inspect the transmission of the car
ask @CN@ , can you prepare coffee for me	hey @CN@ , @SCN@ is requesting you to prepare coffee for them
can you tell @CN@ that the accessories is fashion	hey @CN@ , @SCN@ is conveying that the accessories is fashion
ask @CN@, do they always criticize you	hi @CN@, @SCN@ wants to know whether they always criticize you
can you tell @CN@ to ring peter	hi @CN@ , @SCN@ wants you to ring peter
ask @CN@ , do you know what time the bank counters closes	hi @CN@ , @SCN@ would like to know what time the bank counters closes
tell @CN@ , sekar won the game.	hey @CN@ , @SCN@ would like to tell you that sekar won the game.
can you ask @CN@ about the caricature	hi @CN@ , @SCN@ wanted to know about the caricature.
could you ask @CN@ to check with lara	hi @CN@ , @SCN@ is asking you to check with lara
can you ask @CN@ to prepare the itialian recipe	hey @CN@ , @SCN@ wants you to prepare the itialian recipe
can you ask @CN@ to make a wishlist for christmas	hi @CN@ , @SCN@ is requesting you to make a wishlist for christmas
ask @CN@ , is sara your girlfriend?	hey @CN@ , @SCN@ is asking whether sara is your girlfriend?
enquire @CN@ about his strengths	hi @CN@ , @SCN@ requests to know about your strengths
tell @CN@ to book the ticket	hi @CN@ , @SCN@ told you to book the ticket.
ask @CN@ where do we put toothpaste	hi @CN@ @SCN@ is asking where do we put toothpaste
ask @CN@ about the halloween party	hey @CN@ , @SCN@ wants to know about the halloween party
please ask @CN@ what's for dinner tonight.	hi @CN@, @SCN@ wants to know, what's for dinner tonight?
ask @CN@ how to delete instagram account	hey @CN@ , @SCN@ would like to know how to delete instagram account
tell @CN@ to fix the problem with the mobile	hi @CN@ , @SCN@ asks you to fix the problem with the mobile
please ask @CN@ if he can take them to the beach.	hey @CN@, @SCN@ wants to know if you can take them to the beach.
ask @CN@ , are you married?	hey @CN@ , @SCN@ is questioning are you married?
could you please ask @CN@ to buy a basketball	hi @CN@ , @SCN@ wanted you to buy a basketball.
tell @CN@ to come back from school early	hi @CN@ , @SCN@ is telling you to come back from school early
would you ask @CN@ if she is busy this weekend?	good afternoon, @CN@. @SCN@ wants to know if you are busy this weekend?
remind @CN@ to post the final results of the test by saturday	@SCN@ reminds to post the final results of the test by saturday
ask @CN@ about the software version	hey @CN@ , @SCN@ needs to know the software version
ask @CN@ about her overtime yesterday	hey @CN@ , @SCN@ would like to know about your overtime yesterday
ask @CN@ , did you do it	hey @CN@ , @SCN@ would like to know if you did it
ask @CN@ , why don't you have lunch at the school canteen?	hi @CN@ , @SCN@ would like to know why don't you have lunch at the school canteen?
ask @CN@ , if she got the notification on her phone	hi @CN@ , @SCN@ would like to know if you have got the notifications on your phone
ask @CN@ ,do you still believe in this theory	hey @CN@ , @SCN@ would like to know if you still believe in this theory
find out if @CN@ will meet me after the game.	hello @CN@, @SCN@ is wanting to know if you can meet together after the game.
may you ask @CN@ about her health.	hi @CN@, @SCN@ wants to get information about your health.
tell @CN@ , are you going to the show today?	hi @CN@ , @SCN@ wants to know if you are going to the show today
can you ask @CN@ how to reduce face fat	hi @CN@ , @SCN@ asked how to reduce face fat.
can you tell @CN@ that there is a police standing on the road	hi @CN@ , @SCN@ conveys that there is a police standing on the road
can you ask @CN@ ,do you wake up late in the morning?	hi @CN@ , @SCN@ wants to know whether you wake up late in the morning.
can you remind @CN@ to call the manager regarding the issue	hi @CN@, @SCN@ reminds you to call the manager regarding the issue
ask @CN@ ,do you trust your friends?	hi @CN@ , @SCN@ is wondering if you trust friends
tell @CN@ , i said that because tina is in danger	hi @CN@ , @SCN@ wants to tell you they said that because tina is in danger
can you ask @CN@ to market the app properly	hi @CN@ , @SCN@ asks you to market the app properly
tell @CN@ congrats on graduating	hi @CN@ , @SCN@ says congrats on graduating
ask @CN@ , can jennifer dance?	hey @CN@ , @SCN@ wishes to know whether jennifer can dance?
please ask @CN@ about his role in the office	hi @CN@ , @SCN@ would like to know about your role in the office
please ask @CN@ to leave the topic	hi @CN@ , @SCN@ requested you to leave the topic.
ask @CN@ are musicians and artists creative?	hey @CN@ @SCN@ is wondering are musicians and artists creative
ask @CN@ to forward that mail	hi @CN@ , @SCN@ is asking you to forward that mail
can you tell @CN@ that the smart card is out of date	hey @CN@ , @SCN@ informs that the smart card is out of date
can you ask @CN@ to pick peter	hi @CN@ , @SCN@ would like you to pick peter.
ask @CN@ , when was the race?	hi @CN@ , @SCN@ is wondering when was the race
ask @CN@ , how to lower blood pressure	hi @CN@ , @SCN@ wants to know how to lower blood pressure
can you tell @CN@ that the folder is ready for archiving	hey @CN@ , @SCN@ is informing that the folder is ready for archiving
ask @CN@ , what are you learning now?	hey @CN@ , @SCN@ wants to know what you are learning now?
tell @CN@ ,the trip was exciting	hey @CN@ , @SCN@ would like to tell you that the trip was exciting
please ask @CN@ , how far is the bus stop from here?	hi @CN@ , @SCN@ likes to know how far is the bus stop from here?
remind @CN@ to fill the timesheet for the last week	hi @CN@, @SCN@ reminds you to fill the timesheet for the last week
please ask @CN@ about his plans for the summer holidays	hi @CN@ , @SCN@ is interested to know about your plans for the summer holidays
can you tell @CN@ that the glass is broken	hi @CN@ , @SCN@ informs that the glass is broken
tell @CN@ , my mom is travelling to seattle	hey @CN@ , @SCN@ says their mom is travelling to seattle
ask @CN@ ,is there anything in the fridge	hi @CN@ , @SCN@ would like to know if there is anything in the fridge
can you tell @CN@ that the electricity bill is wrong	hey @CN@ , @SCN@ would like you to know that the electricity bill is wrong
tell @CN@ , i love you	hey @CN@ , @SCN@ said that they love you
please invite my friend @CN@ to my wedding party	hi, @CN@, @SCN@ is inviting you to his wedding party
can you ask @CN@ to do a makeover	hi @CN@ , @SCN@ likes you to do a makeover
can you tell @CN@ that the work is completed	hey @CN@ , @SCN@ conveys that the work is completed
can you tell @CN@ , shall we make a doll ?	hey @CN@ , @SCN@ is wondering if you shall make a doll
ask @CN@ ,can you get me a rose ?	hi @CN@ , @SCN@ would like to know if you can get them a rose
can you ask @CN@ to practice hard for the semifinals coming up	hi @CN@ , @SCN@ is requesting you to practice hard for the semifinals coming up
can you tell @CN@ to cook for me	hi @CN@ , @SCN@ would like to know if you can cook for her
ask @CN@ about her childrens	hey @CN@ , @SCN@ wishes to know about your childrens
ask @CN@ are you a chocoholic	hey @CN@ , @SCN@ questions are you a chocoholic
ask @CN@ if the children are going to school today	hey @CN@ , @SCN@ is asking if the children are going to school today
please ask @CN@ , if you can help someone?	hi cristy, @SCN@ is asking if you can help someone?
ask @CN@ about the new post in facebook	hey @CN@ , @SCN@ wants to know about the new post in facebook
can you ask @CN@ , when is your birthday	hey @CN@ , @SCN@ would like to know when is your birthday
please ask @CN@ why they did not cone home yesterday.	@CN@, @SCN@ asks why you did not come home yesterday.
" please find out from @CN@, ""when is liverpool playing?"	hey @CN@, @SCN@'s wondering when liverpool will play...
ask @CN@ can you assume it	hey @CN@ , @SCN@ wants to know whether you can assume it
can you tell @CN@ that the bore well is not working	hi @CN@ , @SCN@ notifies that the bore well is not working
ask @CN@ about her uncommon belief	hey @CN@ , @SCN@ would like to know about your uncommon belief
can you ask @CN@ about the different ide available for python	@SCN@ wants to know about the different ide available for python
ask @CN@ to add milk to the grocery list	hi @CN@ , @SCN@ wants you to add milk to the grocery list
ask @CN@ , can you fill these questions	hey @CN@ , @SCN@ is wondering if you can fill these questions
can you tell @CN@ that the quotation is been submitted	hi @CN@ , @SCN@ is informing that the quotation is been submitted
ask @CN@ , where is my specs?	hey @CN@ , @SCN@ is asking where his specs is?
ask @CN@ about his work ethics	hi @CN@ , @SCN@ would like to know about your work ethics
can you ask @CN@ about the movie which premiered yesterday	hi @CN@ , @SCN@ is eager to know about the movie which premiered yesterday
ask @CN@ about the institute of distance and open learning	hi @CN@, @SCN@ is asking about the institute of distance and open learning
can you ask @CN@ to share her cloud storage	hey @CN@ , @SCN@ is asking you to share your cloud storage
tell @CN@ , charity @SCN@ nt is a hit	hi @CN@ , eva says charity @SCN@ nt is a hit
can you ask @CN@ , will you convince mom ?	hey @CN@ , @SCN@ wants to know if you can convince mom
ask @CN@ didn't she have english class yesterday?	hi @CN@, @SCN@ is asking didn't she have english class yesterday?
ask @CN@ to describe the daily routine on holidays	hey @CN@ , @SCN@ would like you to describe the daily routine on holidays
request @CN@ to drop me in the parlour	hi @CN@ , @SCN@ wants you to drop them in the parlour
ask @CN@ about the regular protein intake	hey @CN@ , @SCN@ wants to know about the regular protein intake
ask @CN@ to prepare a new design architecture	hi @CN@ , @SCN@ wants you to prepare a new design architecture
can you tell @CN@ , whom did you meet?	hi @CN@ , @SCN@ enquires whom did you meet?
ask @CN@ where do a king and queen live	hi @CN@ @SCN@ is asking where do a king and queen live
ask @CN@ do you have my mobile phone?	hey @CN@ , @SCN@ is questioning do you have his mobile phone?
ask @CN@ have you returned the car	hi @CN@ @SCN@ wants to know have you returned the car
tell @CN@ i will be completing the complex tasks first	hey @CN@ , @SCN@ wants to convey you that they will be completing the complex tasks first
ask @CN@ , how to make french toast	hi @CN@ , @SCN@ would like to know how to make french toast
tell @CN@ to pest proof the kitchen today	hi @CN@, @SCN@ asks you to pest proof the kitchen today
can you ask @CN@ to drop the mail on the way to work?	hi @CN@, @SCN@ wants you to drop the mail on the way to work.
ask @CN@ ,where is the nearest post office?	hey @CN@ , @SCN@ would like to know where is the nearest post office?
can you ask @CN@ to pass the paper	hi lisa, @SCN@ is asking you to pass the paper
ask @CN@ about her income	hey @CN@ , @SCN@ wants to know about your income
ask @CN@ , are you happy with the gift?	hey @CN@ , @SCN@ is asking whether you are happy with the gift?
ask @CN@ ,do they like soccer	hi @CN@ , @SCN@ wondered if they like soccer.
ask @CN@ , how to make a website	hi @CN@ , @SCN@ would like to know how to make a website
ask @CN@ , could you please verify the file	hi @CN@ , @SCN@ would like you to verify the file
ask @CN@ which date didn't you like the most?	hi @CN@, @SCN@ wants to know which date you didn't like the most?
ask @CN@,do you know any computer languages like c or c++?	hey @CN@, @SCN@ asks if you know any computer languages like c or c++?
ask @CN@ if you accept paypal as part of payment	hello @CN@, @SCN@ wants to know if you accept paypal as part of payment?
ask @CN@, does she speak	hi @CN@, @SCN@ interested to know whether you met john yesterday
ask @CN@ if she prefers pancakes or french toast?	hi @CN@, @SCN@ is asking if you prefer pancakes or french toast?
ask @CN@,what are the tips?	hi @CN@, @SCN@ wants to know what are the tips
ask @CN@ is it raining	hi @CN@ @SCN@ wants to know is it raining
ask @CN@ ,have you driven before?	hey @CN@ , @SCN@ is wondering if you have driven before?
ask @CN@ have you ever taken a sleeping pill to get to sleep?	@SCN@ would like to know have you ever taken a sleeping pill to get to sleep?
ask @CN@ ,do you need some gloves?	hey @CN@ , @SCN@ is wondering if you need some gloves?
can you tell @CN@s to hurry up with the homework	hi @CN@s, @SCN@ says to hurry up with the homework
ask @CN@, have you ever tried water skiing?	hey @CN@, @SCN@ asks if you have ever tried water skiing?
ask @CN@ are you artistic	hey @CN@ , @SCN@ is wondering whether you are artistic
ask @CN@ to make up for the party	hi @CN@ , @SCN@ asks you to make up for the party
ask @CN@ for a response to my last text message.	hello, @CN@, @SCN@ would like a response to his last text message.
ask @CN@ ,can you get me an ice cream?	hi @CN@ , @SCN@ would like to know if you can get them an ice cream
can you ask @CN@ about the upcoming series	hi @CN@ , @SCN@ requested to know about the upcoming series.
ask @CN@ about his work ethics	hi @CN@ , @SCN@ wishes to know about your work ethics
ask @CN@ , are you feeling well?	hi @CN@ , @SCN@ asked whether you are feeling well or not.
could you please tell @CN@ to come to my home	hi @CN@ , @SCN@ apprised you to come to his home.
ask @CN@ about the project at caltex	hi @CN@, @SCN@s is asking about the project at caltex
ask @CN@ , are you working for the exhibition this weekend	hi @CN@ , @SCN@ questions if he's working for the exhibition this weekend
ask @CN@ if she is still waiting for the response	hey @CN@ , @SCN@ wants to know if you are still waiting for the response
can you ask @CN@ to pick me up from the hotel	hi lisa, @SCN@ would like you to pick me up from the hotel
could you please ask @CN@ about the packaging.	hi @CN@ , @SCN@ asked about the packaging.
hey tell @CN@ the cat is in the room down the hall.	hi @CN@, @SCN@ would like you to know the cat is in the room down the hall.
tell @CN@ that i have a flat tire	hi @CN@, @SCN@ has a flat tire
ask @CN@ , can you meet me?	hey @CN@ , @SCN@ is wondering if you can meet him?
ask @CN@ ,what time did you come home?	hi @CN@ , @SCN@ is wondering what time did you come home?
ask @CN@ , can you come and meet me	hey @CN@ , @SCN@ would like to know if you can come and meet them
ask @CN@ , when will you come back	hey @CN@ , @SCN@ wants to know when will you come back
ask @CN@ to come to the new year celebration	hi @CN@ , @SCN@ asks you to go to the new year celebration
ask @CN@ , does he work hard?	hi @CN@ , @SCN@ questioned you whether he works hard?
ask @CN@ will he join us for the movie?	hey @CN@ , @SCN@ wants you to join them for the movie?
contact @CN@ and ask when can you make the printer poster billboards we had scheduled for last month?	hey @CN@, @SCN@ wants to know when can you make the printer poster billboards we had scheduled for last month?
ask @CN@ are you coming for dinner?	hey @CN@ , @SCN@ is questioning whether you are coming for dinner?
ask @CN@ ,is valdamir a rugby player?	hey @CN@ , @SCN@ is wondering whether valdamir is a rugby player?
ask @CN@, is the presentation for board meeting ready?	hey @CN@, @SCN@ is asking whether the presentation for board meeting ready?
ask @CN@ ,do you know which number to dial in an emergency?	hey @CN@ , @SCN@ needs to know whether do you know which number to dial in an emergency?
ask @CN@ , do you know about the assignment you are working on	hi @CN@ , @SCN@ asks about the assignment you are working on
ask @CN@ what she is doing today.	hi @CN@, @SCN@ would like to know what you are doing today.
tell @CN@ to understand the current situation	hey @CN@ , @SCN@ requests you to understand the current situation
tell @CN@ to return the defected clothes	hi @CN@ , @SCN@ would like you to return the defected clothes
please ask @CN@ for ice cream	hi @CN@ , @SCN@ would like to ask for ice cream
can you tell @CN@ that the place is not kid friendly	hi @CN@ , @SCN@ informs you that the place is not kid friendly
tell @CN@ ,the train is electric.	hey @CN@ , @SCN@ wants to tell you that the train is electric.
can you ask @CN@ how to make cake	hi @CN@ , @SCN@ wonders how to make cake
ask @CN@ , do you like pizza	hi @CN@ , @SCN@ wants to know if you like pizza.
ask @CN@ , can you play with the kids	hey @CN@ , @SCN@ would like to know if you can open the suitcase
please invite @CN@ to my annual barbeque.	hey @CN@, @SCN@ would like to invite you to their annual barbecue.
can you tell @CN@ to come for dinner	hi @CN@ , @SCN@ asked you to come for dinner.
tell @CN@ to send his artwork	hi @CN@ , @SCN@ wants you to send your artwork
could you ask @CN@ to heat the pan	hi lisa, @SCN@ is asking you to heat the pan
remind @CN@ to pay additional amount for warranty	@SCN@ reminds to pay additional amount for warranty
remind @CN@ to refer the blueprint while she studies for the exam	hi @CN@, @SCN@ reminds you to refer the blueprint while you study for the exam
ask @CN@ ,how does this work?	hey @CN@ , @SCN@ would like to know how does this work?
can you ask @CN@ password for facebook	hey @CN@ , @SCN@ wants to know the password for facebook
ask @CN@ about the shoes	hey @CN@ , @SCN@ wants to know about the shoes
can you tell @CN@ there is no time that we both can meet tomorrow?	@CN@, @SCN@ wants to let you know that there is no time you both can meet tomorrow.
ask @CN@ ,can you come here for a minute?	hi @CN@ , @SCN@ asks if you can come there for a minute
ask @CN@ , can you freeze the marinated chicken	hey @CN@ , @SCN@ is wondering if you can freeze the marinated chicken
ask @CN@ if she have signed the agreement	hey @CN@ , @SCN@ would like to know if you had signed the document
please tell @CN@ that i love spring	hi @CN@ , @SCN@ wanted you to know that he loves spring.
ask @CN@ about the shopping yesterday	hey @CN@ , @SCN@ wants to know about the shopping yesterday
ask @CN@ ,would you like to be a teacher ?	hi @CN@ , @SCN@ is wondering if you would like to be a teacher
tell @CN@ ,can we have a coffee?	hi @CN@ , @SCN@ is asking if you can come for a coffee
ask @CN@, why did alex leave	hi @CN@, @SCN@ asks to know why did alexa leave
ask @CN@ , had they visited an interactive session before	hi @CN@ , @SCN@ asks whether they have ever visited an interactive session before
ask @CN@ , how to apply for the passport	hi @CN@ , @SCN@ is asking how to apply for the passport
can you ask @CN@ about the movie which premiered yesterday	hi @CN@ , @SCN@ wants to know about the movie which premiered yesterday
can you tell @CN@ that the tectonic plates are not stable in the region	hi @CN@ , @SCN@ informs you that the tectonic plates are not stable in the region
ask @CN@ , how to create an gmail account	hi @CN@ , @SCN@ would like to know how to create an gmail account
can you ask @CN@ can you ask @SCN@ to get the work done as early as possible	hey @CN@ , @SCN@ would like you to get the work done as early as possible
can you tell @CN@ that there is wedding tomorrow	hi @CN@ , @SCN@ notifies that there is wedding tomorrow
can you ask @CN@ to share her cloud storage	hey @CN@ , @SCN@ wants you to share your cloud storage
tell @CN@ , sheila is reading a book.	hey @CN@ , @SCN@ says sheila is reading a book.
ask @CN@ , can you get some chocolates	hey @CN@ , @SCN@ is requesting you to get some chocolates
ask @CN@ do we have any exams tomorrow	hey @CN@ , @SCN@ questions do we have any exams tomorrow
please ask @CN@ about the sore throat	hi @CN@ , @SCN@ wanted to know about the sore throat.
can you ask @CN@ to attend the meeting organized by the company	hi @CN@ , @SCN@ wants you to attend the meeting organized by the company
ask @CN@ ,does pinky come on friday?	hi @CN@ , @SCN@ wants to know whether pinky come on friday?
ask @CN@ ,can i get more days to live here	hey @CN@ , @SCN@ would like to know if i can get more days to live here
can you tell @CN@ that the electricity is out	hi @CN@ , @SCN@ would like you to know that the electricity is out
ask @CN@ , do you like spaghetti?	hi @CN@ , @SCN@ would like to know if you like spaghetti
ask @CN@ about his new friends	hey @CN@ , @SCN@ is asking about your new friends
ask @CN@ , do you have driving license?	hey @CN@ , @SCN@ would like to know if you have driving license
ask @CN@ how to reach his new shop	hey @CN@ , @SCN@ wants to know the way to reach your new shop
ask @CN@ , are you feeling sleepy ?	hey @CN@ , @SCN@ wants to know if you are feeling sleepy
ask @CN@ , is abi free	hi @CN@ , @SCN@ puzzled if abi is free.
can you ask @CN@ ,are you feeling sleepy?	hi @CN@ , @SCN@ wants to know if you are feeling sleepy
can you tell @CN@ , how do you feel about clara?	hi @CN@ , @SCN@ queries how's clara like
ask @CN@ , what are the steps to make a choco dessert	hi @CN@ , @SCN@ would like to know how to make a choco dessert
tell @CN@ ,the printer is out of ink.	hey @CN@ , @SCN@ is saying the printer is out of ink.
could you tell @CN@ to leave the room	hi @CN@ , @SCN@ would like you to leave the room
ask @CN@ what reason did you last see a doctor	hi @CN@ @SCN@ is asking what reason did you last see a doctor
can you tell @CN@ that the time varies as per the requirement	hey @CN@ , @SCN@ conveys that the time varies as per the requirement
can you tell @CN@ that the battery is lithium	hey @CN@ , @SCN@ conveys that the battery is lithium
ask @CN@ , could you show me how to cook bacon	hey @CN@ , @SCN@ is wondering if you can show them how to cook bacon
can you ask @CN@ to make notes	hi @CN@ , @SCN@ asked you to make notes.
can you invite @CN@ out for a drink this friday?	@CN@, @SCN@ wanted to invite you out for a drink this friday.
ask @CN@ to pick up milk on the way home	hi @CN@, @SCN@ wants to know if you can pick up milk on the way home?
ask @CN@ , how to book a cab using app	hey @CN@ , @SCN@ is wondering how to book a cab using app
ask @CN@ about the bug	hi @CN@ , @SCN@ would like to know about the bug.
ask @CN@ , did you send those flowers to granny	hey @CN@ , @SCN@ wants to know if you had send those flowers to granny
ask @CN@ , can you switch on the computer?	hi @CN@ , @SCN@ is eager to know if you can switch on the computer
can you ask @CN@ her decision for the approval	hey @CN@ , @SCN@ would like to know your decision for the approval
tell @CN@ to go with his co-workers	hi @CN@ , @SCN@ is asking you to go with your co-workers
please ask my @CN@ for tea.	hi @CN@, @SCN@ is asking you for tea.
ask @CN@ , how to go to the airport	hey @CN@ , @SCN@ is wondering how to go to the airport
can you ask @CN@ how to turn on the phone	hi @CN@ , @SCN@ would like to know how to turn on the phone.
ask @CN@,which super hero is most like you?	hey @CN@, @SCN@ asks which super hero is most like you?
ask @CN@ what does she want for dinner?	@CN@. what do you want for dinner?
please ask @CN@ about that person	hey @CN@ , @SCN@ wants to know about that person
ask @CN@, do you know anyone who has a key to this cupboard?	hi @CN@, @SCN@ wants to know if you know anyone who has a key to this cupboard?
ask @CN@ , can you prepare some pickles	hey @CN@ , @SCN@ is requesting you to prepare some pickles
tell @CN@ , the man walked into the bank and made a deposit.	hey @CN@ , @SCN@ wants to tell you that the man walked into the bank and made a deposit.
ask @CN@ , can i share your textbook?	hi @CN@ , @SCN@ asks if they can share your textbook
ask @CN@ the symp @SCN@ s of typoid	hey @CN@ , @SCN@ is excited to know the symp @SCN@ s of typoid
ask @CN@ what is the average age of people in your country?	@SCN@ wants to know what is the average age of people in your country?
ask @CN@ where does a bird lay eggs	hi @CN@ @SCN@ is asking where does a bird lay eggs
tell @CN@ , robert has good sense of humour.	hey @CN@ , @SCN@ said that robert has good sense of humour.
ask @CN@ ,are you busy right now	hey @CN@ , @SCN@ would like to know if you are busy right now
can you ask @CN@ how to make healthy food	hi @CN@ , @SCN@ wants to know how to make healthy food
tell @CN@ i'll pick him up in the evening	hi @CN@, @SCN@ will pick you up in the evening
ask @CN@ about his next movie he signed	hi @CN@ , @SCN@ asks about your next movie you signed
ask @CN@, what do you need help with most often?	hi @CN@, @SCN@ is asking what do you need help with most often
please ask @CN@ about the singing contest	hey @CN@ , @SCN@ wants to know about the singing contest
tell @CN@ to buy toys for the kids	hi @CN@ , @SCN@ asks you to buy toys for the kids
ask @CN@, how often do you check your facebook account?	hey @CN@, @SCN@ asks how often do you check your facebook account?
tell @CN@ ,many parents are worried their children are not being given a basic understanding of numbers.	hey @CN@ , @SCN@ says many parents are worried their children are not being given a basic understanding of numbers.
tell @CN@ ,many parents are worried their children are not being given a basic understanding of numbers.	hey @CN@ , @SCN@ is saying many parents are worried their children are not being given a basic understanding of numbers.
tell @CN@ i will never do that	hi @CN@ , @SCN@ tells that they will never do that
can you tell @CN@ i am not free	hi @CN@, @SCN@ said they are not free
can you ask @CN@ about the phone call	hi @CN@ , @SCN@ would like to know about the phone call.
ask @CN@ , are you ready to go	hey @CN@ , @SCN@ is asking whether you are ready to go
could you ask @CN@ , who opened the door?	hi wonder woman, @SCN@ is wondering who opened the door?
please ask @CN@ about the argument with his dad	hey @CN@ , @SCN@ wants to know about the argument with your dad
ask @CN@ , can you tell the story?	hi @CN@ , @SCN@ asks if you could tell the story
ask @CN@ to login to gmail	hi @CN@ , @SCN@ wanted you to login to gmail.
ask @CN@ do you use roller skates on the grass?	hi @CN@ @SCN@ is asking do you use roller skates on the grass
tell @CN@ that jack told me his secrets	hi @CN@ , @SCN@ says that jack told me their secrets
can you tell @CN@ micheal is my new friend	hey @CN@ , @SCN@ says micheal is their new friend
tell @CN@ , we have lots of friends.	hey @CN@ , @SCN@ says they have lots of friends.
ask @CN@ , will you be late?	hey @CN@ , @SCN@ is asking whether the children is at school?
ask @CN@ about the payment process	hey @CN@ , @SCN@ would like to know about the payment process
can you tell @CN@ that the case study proves the error	hey @CN@ , @SCN@ would like you to know that the case study proves the error
can you ask @CN@ to manage the team	hey @CN@ , @SCN@ requests you to manage the team
ask @CN@ to come to joining the organization	hi @CN@ , @SCN@ asks you to go to joining the organization with him
ask @CN@ why does a bird have wings	hi @CN@ @SCN@ wants to know why does a bird have wings
tell @CN@ , my child goes to school by cab	hey @CN@ , @SCN@ says their child goes to school by cab
ask @CN@ have you received the letter	hey @CN@ @SCN@ is wondering whether you received the letter
ask @CN@ how to that comedy show online	hi @CN@, @SCN@ is asking how to that comedy show online
can you ask @CN@ to enjoy the holidays	hi @CN@ , @SCN@ asked you to enjoy the holidays.
tell @CN@ , the school is on elm street.	hey @CN@ , @SCN@ informs you the school is on elm street.
ask @CN@ how to prepare russian prawn?	hey @CN@ , @SCN@ would like to know how to prepare russian prawn?
tell @CN@ that we can watch ipl match today	hi @CN@, @SCN@ says that we can watch ipl match today
ask @CN@, are you annoyed with me	hi @CN@, @SCN@ interested to know whether you are annoyed with him
ask @CN@ can you brush your teeth with a shoe?	hey @CN@ @SCN@ is wondering can you brush your teeth with a shoe
ask @CN@ to uninstall rarely used app in his phone	hey @CN@ , @SCN@ requests you to uninstall rarely used app in your phone
can you ask @CN@ where is he going for tonight?	hey @CN@, @SCN@ is asking where are you going tonight?
ask @CN@ for a apple pie	hi @CN@ , @SCN@ would like to ask for a apple pie
ask @CN@ which did you love much?	hi @CN@, @SCN@ is asking which did you love much?
ask @CN@ would you have a pet	hey @CN@ @SCN@ would like to know would you have a pet
tell @CN@ , the erection of shelters, however, is encouraged by the state.	hey @CN@ , @SCN@ would like to tell you that the erection of shelters, however, is encouraged by the state.
please invite @CN@ to clean the bathroom	hi @CN@, @SCN@ invites you to come clean the bathroom.
ask @CN@,who would you like to be with?	hi @CN@, @SCN@ asks to know who would you like to be with
please ask @CN@ for a coffee	hi @CN@ , @SCN@ would like a coffee
can you ask @CN@ about washing dishes	hi @CN@ , @SCN@ would like to know about washing dishes.
tell @CN@ that i have posted my new cooking video	hey @CN@, @SCN@ is saying that they have posted my new cooking video
can you ask @CN@ to spend more time on the classes tomorrow	hey @CN@ , @SCN@ requests you to spend more time on the classes tomorrow
ask @CN@ , does he like to work here?	hi @CN@ , @SCN@ would like to know whether you like to work here?
